Policy_ID,Customer_Age,Gender,City,State,Policy_Type,Premium_Amount,Sum_Assured,Policy_Term_Years,Payment_Mode,Policy_Status,Claim_Status,Claim_Amount,Agent_ID,Policy_Start_Date,Age_Group,Year,Month
LIC100000,32,Male,Hyderabad,Telangana,Whole Life,39100,373000,15,Monthly,Active,Not Claimed,0,AG1275,2021-12-26,26-35,2021,2021-12
LIC100001,41,Female,Varanasi,Uttar Pradesh,Money Back,33500,761000,25,Half-Yearly,Active,Not Claimed,0,AG1257,2025-07-11,36-45,2025,2025-07
LIC100002,33,Female,Surat,Gujarat,Endowment,39800,967000,15,Half-Yearly,Matured,Claimed,708000,AG1088,2023-10-02,26-35,2023,2023-10
LIC100003,31,Female,Patna,Bihar,Endowment,26200,422000,12,Monthly,Active,Not Claimed,0,AG1216,2024-04-07,26-35,2024,2024-04
LIC100004,32,Female,Ahmedabad,Gujarat,ULIP,36700,432000,15,Quarterly,Active,Not Claimed,0,AG1284,2026-01-31,26-35,2026,2026-01
LIC100005,45,Male,Hyderabad,Telangana,Endowment,53200,1027000,15,Half-Yearly,Matured,Not Claimed,0,AG1107,2026-06-26,36-45,2026,2026-06
LIC100006,38,Male,Coimbatore,Tamil Nadu,Whole Life,41200,646000,15,Monthly,Active,Not Claimed,0,AG1024,2026-07-28,36-45,2026,2026-07
LIC100007,34,Male,Patna,Bihar,Endowment,50900,626000,20,Yearly,Lapsed,Not Claimed,0,AG1232,2021-04-24,26-35,2021,2021-04
LIC100008,42,Male,Patna,Bihar,Whole Life,39000,337000,10,Single Premium,Active,Not Claimed,0,AG1044,2021-03-10,36-45,2021,2021-03
LIC100009,34,Female,Chennai,Tamil Nadu,ULIP,51100,1182000,20,Monthly,Lapsed,Not Claimed,0,AG1078,2020-08-18,26-35,2020,2020-08
LIC100010,51,Male,Ahmedabad,Gujarat,Endowment,44700,963000,20,Monthly,Matured,Not Claimed,0,AG1143,2023-07-16,46-55,2023,2023-07
LIC100011,28,Male,Bengaluru,Karnataka,Term,19500,431000,20,Quarterly,Active,Not Claimed,0,AG1215,2020-12-16,26-35,2020,2020-12
LIC100012,37,Male,Delhi,Delhi,Term,23200,359000,15,Yearly,Active,Not Claimed,0,AG1004,2019-03-26,36-45,2019,2019-03
LIC100013,24,Female,Bhopal,Madhya Pradesh,Whole Life,30000,624000,30,Quarterly,Matured,Not Claimed,0,AG1212,2021-02-03,18-25,2021,2021-02
LIC100014,35,Male,Pune,Maharashtra,Pension,67400,1205000,15,Monthly,Lapsed,Not Claimed,0,AG1287,2019-03-09,26-35,2019,2019-03
LIC100015,21,Male,Delhi,Delhi,Term,16900,243000,10,Half-Yearly,Lapsed,Not Claimed,0,AG1199,2022-08-31,18-25,2022,2022-08
LIC100016,47,Male,Mumbai,Maharashtra,ULIP,45200,1009000,25,Single Premium,Active,Not Claimed,0,AG1001,2020-04-26,46-55,2020,2020-04
LIC100017,47,Male,Bhopal,Madhya Pradesh,Endowment,47900,1196000,10,Quarterly,Lapsed,Not Claimed,0,AG1014,2022-11-17,46-55,2022,2022-11
LIC100018,48,Male,Bhopal,Madhya Pradesh,Money Back,42900,999000,20,Quarterly,Active,Not Claimed,0,AG1222,2026-04-02,46-55,2026,2026-04
LIC100019,39,Female,Chandigarh,Chandigarh,Pension,49200,1043000,10,Single Premium,Active,Claimed,967000,AG1279,2022-10-16,36-45,2022,2022-10
LIC100020,29,Male,Lucknow,Uttar Pradesh,Endowment,60100,1245000,5,Yearly,Active,Not Claimed,0,AG1108,2022-03-18,26-35,2022,2022-03
LIC100021,30,Female,Kanpur,Uttar Pradesh,Money Back,45100,859000,10,Yearly,Active,Not Claimed,0,AG1118,2023-05-28,26-35,2023,2023-05
LIC100022,56,Male,Surat,Gujarat,Term,15100,340000,15,Half-Yearly,Active,Not Claimed,0,AG1119,2021-11-23,56-65,2021,2021-11
LIC100023,55,Male,Surat,Gujarat,Term,34300,562000,10,Single Premium,Active,Not Claimed,0,AG1238,2025-12-23,46-55,2025,2025-12
LIC100024,40,Female,Coimbatore,Tamil Nadu,Endowment,20700,230000,10,Yearly,Active,Not Claimed,0,AG1254,2024-02-08,36-45,2024,2024-02
LIC100025,33,Male,Bhopal,Madhya Pradesh,Term,32900,693000,20,Yearly,Active,Not Claimed,0,AG1045,2021-08-18,26-35,2021,2021-08
LIC100026,54,Male,Varanasi,Uttar Pradesh,Whole Life,34000,803000,20,Yearly,Matured,Claimed,345000,AG1126,2018-07-02,46-55,2018,2018-07
LIC100027,31,Female,Bengaluru,Karnataka,Endowment,39800,549000,20,Yearly,Active,Not Claimed,0,AG1135,2022-03-14,26-35,2022,2022-03
LIC100028,42,Male,Kolkata,West Bengal,Money Back,38400,818000,25,Quarterly,Active,Not Claimed,0,AG1064,2021-01-23,36-45,2021,2021-01
LIC100029,54,Female,Coimbatore,Tamil Nadu,Term,24600,311000,15,Quarterly,Active,Not Claimed,0,AG1258,2018-06-05,46-55,2018,2018-06
LIC100030,30,Male,Hyderabad,Telangana,Endowment,42000,1009000,25,Yearly,Active,Not Claimed,0,AG1006,2022-09-12,26-35,2022,2022-09
LIC100031,48,Male,Jaipur,Rajasthan,Whole Life,33400,655000,15,Quarterly,Active,Not Claimed,0,AG1017,2023-11-15,46-55,2023,2023-11
LIC100032,45,Male,Hyderabad,Telangana,Micro Insurance,9700,171000,15,Half-Yearly,Active,Not Claimed,0,AG1282,2020-07-25,36-45,2020,2020-07
LIC100033,39,Female,Kochi,Kerala,Term,22100,470000,20,Monthly,Active,Not Claimed,0,AG1041,2021-10-24,36-45,2021,2021-10
LIC100034,28,Male,Chennai,Tamil Nadu,Pension,36700,801000,10,Yearly,Surrendered,Not Claimed,0,AG1232,2020-02-28,26-35,2020,2020-02
LIC100035,31,Female,Nagpur,Maharashtra,Money Back,44300,1026000,20,Monthly,Active,Not Claimed,0,AG1090,2024-04-04,26-35,2024,2024-04
LIC100036,42,Female,Kochi,Kerala,Money Back,45200,1054000,15,Yearly,Active,Not Claimed,0,AG1150,2023-08-23,36-45,2023,2023-08
LIC100037,23,Male,Jaipur,Rajasthan,Money Back,30900,275000,10,Half-Yearly,Active,Not Claimed,0,AG1072,2021-08-17,18-25,2021,2021-08
LIC100038,40,Male,Delhi,Delhi,Term,23800,240000,10,Monthly,Active,Not Claimed,0,AG1257,2020-05-07,36-45,2020,2020-05
LIC100039,45,Male,Varanasi,Uttar Pradesh,Term,19300,425000,10,Half-Yearly,Active,Not Claimed,0,AG1045,2018-07-01,36-45,2018,2018-07
LIC100040,50,Male,Surat,Gujarat,Whole Life,33300,802000,25,Quarterly,Active,Not Claimed,0,AG1040,2023-04-23,46-55,2023,2023-04
LIC100041,24,Male,Hyderabad,Telangana,Endowment,39200,519000,30,Quarterly,Active,Not Claimed,0,AG1192,2021-03-24,18-25,2021,2021-03
LIC100042,53,Male,Bhopal,Madhya Pradesh,Pension,29600,241000,15,Quarterly,Active,Not Claimed,0,AG1011,2020-02-02,46-55,2020,2020-02
LIC100043,58,Female,Ahmedabad,Gujarat,Endowment,46200,623000,12,Monthly,Active,Not Claimed,0,AG1135,2021-11-15,56-65,2021,2021-11
LIC100044,44,Female,Surat,Gujarat,Term,24400,354000,10,Single Premium,Active,Not Claimed,0,AG1179,2025-10-11,36-45,2025,2025-10
LIC100045,28,Female,Bengaluru,Karnataka,Whole Life,29800,624000,25,Monthly,Lapsed,Not Claimed,0,AG1221,2024-02-03,26-35,2024,2024-02
LIC100046,35,Female,Nagpur,Maharashtra,Endowment,29300,258000,10,Yearly,Active,Not Claimed,0,AG1222,2025-12-29,26-35,2025,2025-12
LIC100047,38,Male,Chandigarh,Chandigarh,Money Back,48900,568000,25,Quarterly,Active,Not Claimed,0,AG1039,2026-02-27,36-45,2026,2026-02
LIC100048,42,Male,Chennai,Tamil Nadu,Whole Life,29900,694000,20,Yearly,Active,Not Claimed,0,AG1044,2019-08-06,36-45,2019,2019-08
LIC100049,39,Female,Kochi,Kerala,Pension,35700,380000,25,Quarterly,Surrendered,Not Claimed,0,AG1297,2026-01-13,36-45,2026,2026-01
LIC100050,42,Male,Ahmedabad,Gujarat,ULIP,104500,2185000,15,Yearly,Lapsed,Not Claimed,0,AG1295,2023-04-28,36-45,2023,2023-04
LIC100051,38,Female,Chennai,Tamil Nadu,Whole Life,23100,327000,20,Yearly,Active,Not Claimed,0,AG1148,2020-05-30,36-45,2020,2020-05
LIC100052,42,Male,Delhi,Delhi,Whole Life,41600,801000,20,Yearly,Matured,Not Claimed,0,AG1022,2023-10-18,36-45,2023,2023-10
LIC100053,34,Male,Pune,Maharashtra,Pension,38700,358000,25,Monthly,Active,Not Claimed,0,AG1157,2018-11-04,26-35,2018,2018-11
LIC100054,35,Female,Lucknow,Uttar Pradesh,Endowment,43600,561000,25,Yearly,Surrendered,Not Claimed,0,AG1003,2022-08-27,26-35,2022,2022-08
LIC100055,33,Female,Chennai,Tamil Nadu,Term,14000,213000,20,Quarterly,Active,Not Claimed,0,AG1201,2026-04-27,26-35,2026,2026-04
LIC100056,60,Male,Kochi,Kerala,Endowment,38600,871000,20,Monthly,Active,Not Claimed,0,AG1097,2025-07-01,56-65,2025,2025-07
